spike,spike_index,spike_time,inst_freq,isi_s,width,rise_half_ms,decay_half_ms,spike_peak,spike_amplitude
183,191264,19.1264,14.925373134328357,0.067,0.6358423980505904,0.1852675383677706,0.4505748596828198,42.029998779296875,103.0109977722168
184,191970,19.197,14.164305949008499,0.0706,0.6232093095954042,0.19485500463924837,0.42835430495615584,42.499000549316406,104.23099899291992
185,192623,19.2623,15.313935681470138,0.0653,0.6413117624440929,0.2293775426602224,0.4119342197838705,42.279998779296875,103.79299926757812
186,193317,19.3317,14.40922190201729,0.0694,0.6388800562388497,0.2129626977170119,0.42591735852183776,42.249000549316406,103.69900131225586
187,194010,19.401,14.43001443001443,0.0693,0.6525606135546695,0.17360957475029865,0.4789510388043709,42.09299850463867,103.48099899291992
188,194903,19.4903,11.19820828667413,0.0893,0.6380339696683223,0.21182651532581076,0.4262074543425115,42.8120002746582,104.70000076293945
189,195658,19.5658,13.245033112582782,0.0755,0.6470404255436734,0.17791892632376402,0.4691214992199093,43.125,105.57600021362305
190,196430,19.643,12.953367875647668,0.0772,0.6366437695251079,0.15981368389620912,0.47683008562889884,42.249000549316406,104.51200103759766
191,197099,19.7099,14.947683109118087,0.0669,0.6527919120300794,0.2535278552299133,0.39926405680016613,41.81100082397461,103.38600158691406
192,197817,19.7817,13.927576601671309,0.0718,0.6393971190584125,0.22254613730765413,0.41685098175075835,43.28099822998047,105.73199844360352
193,198614,19.8614,12.547051442910917,0.0797,0.6453662542073288,0.24090956666332203,0.4044566875440069,42.624000549316406,104.41799926757812
194,199620,19.962,9.940357852882704,0.1006,0.6382369732600637,0.24830951318144798,0.3899274600786157,42.6870002746582,104.82500076293945
195,200953,20.0953,7.501875468867217,0.1333,0.6259349242754979,0.2082823821605416,0.4176525421149563,44.0629997253418,106.54499816894531
196,202293,20.2293,7.462686567164178,0.134,0.630496329109883,0.15207756198942662,0.47841876712045633,43.4370002746582,105.82500076293945
197,203824,20.3824,6.531678641410842,0.1531,0.6183723801921588,0.17100477356580085,0.4473676066263579,45.53300094604492,108.32799911499023
198,205210,20.521,7.215007215007215,0.1386,0.6155123435339191,0.18577520649705548,0.4297371370368637,45.0629997253418,107.20100021362305
199,206622,20.6622,7.0821529745042495,0.1412,0.6271927095134743,0.22521693969611079,0.4019757698173635,44.5629997253418,107.35799789428711
200,208157,20.8157,6.514657980456026,0.1535,0.6210548913659295,0.14720171862572898,0.47385317274020056,44.0,106.63800048828125
201,210475,21.0475,4.3140638481449525,0.2318,0.6144127528881654,0.14718935911660083,0.4672233937715646,45.0629997253418,108.23299789428711
